order_id,date,store_id,product_id,city,category,quantity,gmv,order_status,is_promo,refund_flag
O0000001,2026-05-01,S001,P012,Ningbo,Dairy,1,73.0,completed,0,0
O0000002,2026-05-01,S001,P009,Ningbo,Dairy,2,120.0,completed,0,0
O0000003,2026-05-01,S001,P014,Ningbo,Ready Meal,1,64.0,completed,0,0
O0000004,2026-05-01,S001,P018,Ningbo,Beauty,1,66.0,completed,0,0
O0000005,2026-05-01,S001,P003,Ningbo,Coffee,2,162.0,completed,0,0
O0000006,2026-05-01,S001,P009,Ningbo,Dairy,3,180.0,completed,0,0
O0000007,2026-05-01,S001,P019,Ningbo,Beauty,2,100.0,completed,0,0
O0000008,2026-05-01,S001,P014,Ningbo,Ready Meal,2,128.0,completed,0,0
O0000009,2026-05-01,S001,P014,Ningbo,Ready Meal,3,192.0,refunded,0,1
O0000010,2026-05-01,S001,P001,Ningbo,Coffee,2,166.0,completed,0,0
O0000011,2026-05-01,S002,P006,Shanghai,Snack,1,22.0,completed,0,0
O0000012,2026-05-01,S002,P012,Shanghai,Dairy,1,73.0,completed,0,0
O0000013,2026-05-01,S002,P020,Shanghai,Beauty,1,55.0,completed,0,0
O0000014,2026-05-01,S002,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000015,2026-05-01,S002,P009,Shanghai,Dairy,3,180.0,completed,0,0
O0000016,2026-05-01,S002,P015,Shanghai,Ready Meal,1,73.0,completed,0,0
O0000017,2026-05-01,S002,P002,Shanghai,Coffee,1,69.0,completed,0,0
O0000018,2026-05-01,S002,P011,Shanghai,Dairy,1,45.0,completed,0,0
O0000019,2026-05-01,S002,P014,Shanghai,Ready Meal,2,128.0,completed,0,0
O0000020,2026-05-01,S002,P009,Shanghai,Dairy,2,120.0,completed,0,0
O0000021,2026-05-01,S002,P002,Shanghai,Coffee,1,69.0,completed,0,0
O0000022,2026-05-01,S002,P005,Shanghai,Snack,2,94.0,completed,0,0
O0000023,2026-05-01,S002,P008,Shanghai,Snack,1,63.0,completed,0,0
O0000024,2026-05-01,S002,P001,Shanghai,Coffee,1,83.0,completed,0,0
O0000025,2026-05-01,S002,P001,Shanghai,Coffee,2,166.0,completed,0,0
O0000026,2026-05-01,S003,P009,Hangzhou,Dairy,1,60.0,refunded,0,1
O0000027,2026-05-01,S003,P005,Hangzhou,Snack,1,47.0,completed,0,0
O0000028,2026-05-01,S003,P018,Hangzhou,Beauty,3,198.0,completed,0,0
O0000029,2026-05-01,S003,P018,Hangzhou,Beauty,1,66.0,refunded,0,1
O0000030,2026-05-01,S003,P012,Hangzhou,Dairy,1,73.0,completed,0,0
O0000031,2026-05-01,S003,P003,Hangzhou,Coffee,2,162.0,completed,0,0
O0000032,2026-05-01,S003,P017,Hangzhou,Beauty,1,48.0,completed,0,0
O0000033,2026-05-01,S003,P005,Hangzhou,Snack,2,94.0,completed,0,0
O0000034,2026-05-01,S003,P003,Hangzhou,Coffee,1,81.0,refunded,0,1
O0000035,2026-05-01,S003,P010,Hangzhou,Dairy,2,130.0,completed,0,0
O0000036,2026-05-01,S003,P020,Hangzhou,Beauty,2,110.0,completed,0,0
O0000037,2026-05-01,S003,P015,Hangzhou,Ready Meal,1,73.0,completed,0,0
O0000038,2026-05-01,S003,P020,Hangzhou,Beauty,1,55.0,completed,0,0
O0000039,2026-05-01,S003,P019,Hangzhou,Beauty,1,50.0,completed,0,0
O0000040,2026-05-01,S003,P006,Hangzhou,Snack,1,22.0,completed,0,0
O0000041,2026-05-01,S003,P012,Hangzhou,Dairy,2,146.0,completed,0,0
O0000042,2026-05-01,S003,P005,Hangzhou,Snack,2,94.0,completed,0,0
O0000043,2026-05-01,S003,P010,Hangzhou,Dairy,1,65.0,completed,0,0
